Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
Red,Pinot noir,STELLENBOSCH  ,Low ,6170,
Red,Pinotage,STELLENBOSCH  ,Low ,7937,
Red,Roobernet,STELLENBOSCH  ,Low ,6170,
Red,Ruby Cabernet,STELLENBOSCH  ,Low ,6170,
Red,Shiraz,STELLENBOSCH  ,Low ,8141,
Red,Tinta Barocca,STELLENBOSCH  ,Low ,6170,
Red,Other Red,STELLENBOSCH  ,Low ,6170,
White,Bukettraube,STELLENBOSCH  ,High,10680,
White,Crouchen,STELLENBOSCH  ,High,10680,
White,Chardonnay,STELLENBOSCH  ,High,7990,
White,Chenin Blanc,STELLENBOSCH  ,High,8680,
White,Clairette blanche,STELLENBOSCH  ,High,10680,
White,Colombar,STELLENBOSCH  ,High,11390,
White,Palomino,STELLENBOSCH  ,High,10680,
White,Gewurztraminer,STELLENBOSCH  ,High,10680,
White,Muscat d'Alexandrie,STELLENBOSCH  ,High,10680,
White,Muscat de Frontignan,STELLENBOSCH  ,High,10680,
White,Pinot gris,STELLENBOSCH  ,High,10680,
White,Sauvignon blanc,STELLENBOSCH  ,High,9310,
White,Sémillon,STELLENBOSCH  ,High,10680,
White,Viognier,STELLENBOSCH  ,High,10680,
White,Riesling,STELLENBOSCH  ,High,10680,
White,Other White,STELLENBOSCH  ,High,10680,
Red,Cabernet Franc,STELLENBOSCH  ,High,7734,
Red,Cabernet Sauvignon,STELLENBOSCH  ,High,6880,
Red,Carignan,STELLENBOSCH  ,High,7734,
Red,Cinsaut,STELLENBOSCH  ,High,8810,
Red,Gamay noir,STELLENBOSCH  ,High,7734,
Red,Merlot,STELLENBOSCH  ,High,9110,
Red,Petit Verdot,STELLENBOSCH  ,High,7734,
Red,Pinot noir,STELLENBOSCH  ,High,7734,
Red,Pinotage,STELLENBOSCH  ,High,8890,
Red,Roobernet,STELLENBOSCH  ,High,7734,
Red,Ruby Cabernet,STELLENBOSCH  ,High,7734,
Red,Shiraz,STELLENBOSCH  ,High,9040,899
Red,Tinta Barocca,STELLENBOSCH  ,High,7734,
Red,Other Red,STELLENBOSCH  ,High,7734,
White,Bukettraube,CAPE SOUTH COAST,Low ,7056,
White,Crouchen,CAPE SOUTH COAST,Low ,7056,
White,Chardonnay,CAPE SOUTH COAST,Low ,5928,
White,Chenin Blanc,CAPE SOUTH COAST,Low ,7384,
White,Clairette blanche,CAPE SOUTH COAST,Low ,7056,
White,Colombar,CAPE SOUTH COAST,Low ,9603,
White,Palomino,CAPE SOUTH COAST,Low ,7056,
White,Gewurztraminer,CAPE SOUTH COAST,Low ,7056,
White,Muscat d'Alexandrie,CAPE SOUTH COAST,Low ,7056,
White,Muscat de Frontignan,CAPE SOUTH COAST,Low ,7056,
White,Pinot gris,CAPE SOUTH COAST,Low ,7056,
White,Sauvignon blanc,CAPE SOUTH COAST,Low ,7055,
White,Sémillon,CAPE SOUTH COAST,Low ,7056,
White,Viognier,CAPE SOUTH COAST,Low ,7056,
White,Riesling,CAPE SOUTH COAST,Low ,7056,
White,Other White,CAPE SOUTH COAST,Low ,7056,
Red,Cabernet Franc,CAPE SOUTH COAST,Low ,5199,
Red,Cabernet Sauvignon,CAPE SOUTH COAST,Low ,5449,
Red,Carignan,CAPE SOUTH COAST,Low ,5199,
