YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,Red,Tinta Barocca,PAARL         ,Low ,4877
2025,Red,Other Red,PAARL         ,Low ,5604
2025,White,Bukettraube,PAARL         ,High,6329
2025,White,Crouchen,PAARL         ,High,14422
2025,White,Chardonnay,PAARL         ,High,8612
2025,White,Chenin Blanc,PAARL         ,High,5603
2025,White,Clairette blanche,PAARL         ,High,15148
2025,White,Colombar,PAARL         ,High,5603
2025,White,Palomino,PAARL         ,High,8612
2025,White,Gewurztraminer,PAARL         ,High,7055
2025,White,Muscat d'Alexandrie,PAARL         ,High,7885
2025,White,Muscat de Frontignan,PAARL         ,High,6329
2025,White,Pinot gris,PAARL         ,High,6329
2025,White,Sauvignon blanc,PAARL         ,High,7885
2025,White,Sémillon,PAARL         ,High,11517
2025,White,Viognier,PAARL         ,High,6329
2025,White,Riesling,PAARL         ,High,13696
2025,White,Other White,PAARL         ,High,6329
2025,Red,Cabernet Franc,PAARL         ,High,7055
2025,Red,Cabernet Sauvignon,PAARL         ,High,8612
2025,Red,Carignan,PAARL         ,High,12969
2025,Red,Cinsaut,PAARL         ,High,7885
2025,Red,Gamay noir,PAARL         ,High,10791
2025,Red,Merlot,PAARL         ,High,8612
2025,Red,Petit Verdot,PAARL         ,High,9338
2025,Red,Pinot noir,PAARL         ,High,10064
2025,Red,Pinotage,PAARL         ,High,6329
2025,Red,Roobernet,PAARL         ,High,7055
2025,Red,Ruby Cabernet,PAARL         ,High,4876
2025,Red,Shiraz,PAARL         ,High,7885
2025,Red,Tinta Barocca,PAARL         ,High,18780
2025,Red,Other Red,PAARL         ,High,7885
2025,White,Bukettraube,STELLENBOSCH  ,Low ,7548
2025,White,Crouchen,STELLENBOSCH  ,Low ,11518
2025,White,Chardonnay,STELLENBOSCH  ,Low ,10065
2025,White,Chenin Blanc,STELLENBOSCH  ,Low ,7056
2025,White,Clairette blanche,STELLENBOSCH  ,Low ,9339
2025,White,Colombar,STELLENBOSCH  ,Low ,7056
2025,White,Palomino,STELLENBOSCH  ,Low ,7548
2025,White,Gewurztraminer,STELLENBOSCH  ,Low ,10065
2025,White,Muscat d'Alexandrie,STELLENBOSCH  ,Low ,8613
2025,White,Muscat de Frontignan,STELLENBOSCH  ,Low ,4877
2025,White,Pinot gris,STELLENBOSCH  ,Low ,6330
2025,White,Sauvignon blanc,STELLENBOSCH  ,Low ,7886
2025,White,Sémillon,STELLENBOSCH  ,Low ,7886
2025,White,Viognier,STELLENBOSCH  ,Low ,5604
2025,White,Riesling,STELLENBOSCH  ,Low ,10792
2025,White,Other White,STELLENBOSCH  ,Low ,6330
2025,Red,Cabernet Franc,STELLENBOSCH  ,Low ,9339
2025,Red,Cabernet Sauvignon,STELLENBOSCH  ,Low ,9339
2025,Red,Carignan,STELLENBOSCH  ,Low ,9995
2025,Red,Cinsaut,STELLENBOSCH  ,Low ,8613
2025,Red,Gamay noir,STELLENBOSCH  ,Low ,10065
2025,Red,Merlot,STELLENBOSCH  ,Low ,8613
2025,Red,Petit Verdot,STELLENBOSCH  ,Low ,8613
